German,English
Teil,part
Geschichte,history
suchen,search
nur,only
Polizei,police
dachte,thought
Hilfe,help
Anfrage,request
Art,kind
Monat,month
Bruder,brother
lassen,let
weil,because
setzen,to put
keine,no
Leine,leash
sie,them
Stadt,city
jede,each
sprechen,speak
kommen,come
sollte,should
Baby,baby
lange Zeit,long time
Stunden,hours
werden,will
während,while
wieder treffen,meet again
keine,any
Platz,square
sprechen,speak
verstanden,understood
wusste,knew
waren,were
Achtung,Warning
hier ist,here is
Fall,case
geben,give
Typ,type
ihre,their
gegeben,given
Zug,train
Körper,body
Ort,place
Augen,eyes
Art,way
hören,listen
dessen,whose
finden,find
erste,first
verloren,lost
Hand,hand
erste,first
Seite,side
Macht,power
alt,old
sei,be
hier,here
Morgen,morning
so viel,so much
Kind,child
Punkt,point
kam,came
nach,after
Entschuldigung,sorry
kommen,come
vor,in front of
Richtung,towards
Minuten,minutes
angefragt,request
Schlafzimmer,bedroom
gesetzt,placed
schön,beautiful
Gesetz,law
würde gerne,would like to
heute,today
Ehemann,husband
Grund,cause
endlich,finally
hoffe,hope
Wasser,water
warten,Wait
links,left
neu,new
Job,job
Stoppen,Stop
würde sagen,would say
Erde,Earth
Konto,account
gegeben,given
weit,far
Ende,end
glauben,believe
Liebling,sweetheart
groß,large
eher,rather
wird haben,will have
Mädchen,girls
spielen,to play
Büro,office
